p.geomean	stat.mean	p.val	q.val	set.size	exp1	GO_id	GO_term
0.00272482766532577	-2.88453099117662	0.00272482766532577	0.122683671917294	33	0.00272482766532577	GO:0045202	synapse
0.00579924078837975	-2.72621785337922	0.00579924078837977	0.122683671917294	14	0.00579924078837975	GO:0098794	postsynapse
0.00679869325174934	-2.51878233352849	0.00679869325174935	0.122683671917294	46	0.00679869325174934	GO:0030054	cell junction
0.00920459694912174	-2.57704877314326	0.00920459694912174	0.122683671917294	11	0.00920459694912174	GO:0032279	asymmetric synapse
0.00920459694912174	-2.57704877314326	0.00920459694912174	0.122683671917294	11	0.00920459694912174	GO:0098984	neuron to neuron synapse
0.0110923611269692	-2.40446474872173	0.0110923611269692	0.122683671917294	17	0.0110923611269692	GO:0098590	plasma membrane region
0.0119497934613145	-2.47329695800176	0.0119497934613145	0.122683671917294	10	0.0119497934613145	GO:0014069	postsynaptic density
0.0119497934613145	-2.47329695800176	0.0119497934613145	0.122683671917294	10	0.0119497934613145	GO:0099572	postsynaptic specialization
0.0129708709410562	-2.36549482264593	0.0129708709410562	0.122683671917294	14	0.0129708709410562	GO:0036477	somatodendritic compartment
0.0139413263542379	-2.28414434440728	0.0139413263542379	0.122683671917294	21	0.0139413263542379	GO:0043005	neuron projection
0.0342212398219224	-1.96217347233666	0.0342212398219224	0.273769918575379	11	0.0342212398219224	GO:0098793	presynapse
0.0720330404297721	-1.47689974108668	0.0720330404297722	0.528242296484996	37	0.0720330404297722	GO:0042995	cell projection
0.0828793174643097	-1.40100913281382	0.0828793174643097	0.56102922591225	35	0.0828793174643097	GO:0120025	plasma membrane bounded cell projection
0.129572689784939	-1.14651835162871	0.129572689784939	0.752496221434518	19	0.129572689784939	GO:0012506	vesicle membrane
0.129572689784939	-1.14651835162871	0.129572689784939	0.752496221434518	19	0.129572689784939	GO:0030659	cytoplasmic vesicle membrane
0.138998815466478	-1.12315295884074	0.138998815466478	0.752496221434518	11	0.138998815466478	GO:0048471	perinuclear region of cytoplasm
0.162689965079753	-0.98746182256488	0.162689965079753	0.752496221434518	64	0.162689965079753	GO:0031090	organelle membrane
0.171007980077489	-0.957310134027676	0.171007980077489	0.752496221434518	33	0.171007980077489	GO:0031410	cytoplasmic vesicle
0.171007980077489	-0.957310134027676	0.171007980077489	0.752496221434518	33	0.171007980077489	GO:0097708	intracellular vesicle
0.171021868507845	-0.962858033043975	0.171021868507845	0.752496221434518	19	0.171021868507845	GO:0098796	membrane protein complex
